exporter,year,population,eci,leftDistance2Origin_cp,leftDistance2Origin_ccp,leftSimDirection2MostComplex_cp,leftSimDirection2MostComplex_ccp,leftDistance2MostComplex_cp,leftDistance2MostComplex_ccp,leftEntropyCommunities_cp,leftEntropyCommunities_ccp,rightDistance2Origin_cp,rightDistance2Origin_ccp,rightSimDirection2MostComplex_cp,rightSimDirection2MostComplex_cc,rightDistance2MostComplex_cp,rightDistance2MostComplex_ccp,rightEntropyCommunities_cp,rightEntropyCommunities_ccp,EntropyCommunities_ccp,EntropyCommunities_cp,GDPpcPPPconstant2011intUSD,GDPpcconst2010USD,incomeLevel,latitude,longitude,region,TotalExports,TotalImports,rY10yr,rX10yr,logpop,loggdppc
"AGO",1995,14268994,-2.2370017,3.3638372,0,-.0064205676,0,.44546267,.45744395,0,0,.1613359,0,-.0033957392,0,.47970721,1.0362818,0,0,3.75545,13.275314,2966.5547,1775.8994,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",3526.1372,1621.7357,.029026315,.19524272,16.4736,7.4820623
"AGO",1996,14682284,-2.436476,4.4687266,0,-.0041454225,0,.5162921,.61588544,0,0,.19953983,0,-.001252139,0,.47739738,1.0231987,0,0,3.7911396,13.038897,3205.9509,1919.2118,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",4726.0923,1835.9131,.036789581,.20475878,16.502151,7.55967
"AGO",1997,15088981,-1.8421952,3.0475423,0,-.0049184607,0,.38703668,.14253694,0,0,.22651033,0,-.0017989913,0,.48194981,.96586186,0,0,3.85128,12.955112,3365.9839,2015.0139,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",4467.9556,2181.3325,.049237102,.24393249,16.529476,7.6083813
"AGO",1998,15504318,-1.8131292,3.1275642,0,-.0053096204,0,.414105,.011996561,0,0,.21522072,0,-.0025502818,0,.47461411,.71017087,0,0,,12.905599,3498.7256,2094.4785,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",3636.5149,1943.9855,.055035409,.3329404,16.556629,7.6470599
"AGO",1999,15949766,-2.0716026,3.0779681,0,-.0056986781,0,.40696788,.014440662,0,0,.11251789,0,-.0032115623,0,.47389531,.73437732,0,0,,12.838332,3511.1985,2101.9453,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",4548.9707,1983.5881,.053413521,.23635055,16.584955,7.6506186
"AGO",2000,16440924,-2.1619527,2.7141364,0,-.0063765226,0,.37557828,.020569459,0,0,.12788463,0,-.0032461924,0,.47082072,.7356956,0,0,,12.604106,3508.905,2100.5723,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",7769.7959,1933.474,.053251438,.20942977,16.615284,7.6499653
"AGO",2001,16983266,-2.0374804,2.6192043,0,-.0059407456,0,.36543304,.017185749,0,0,.12183177,0,-.002775958,0,.46866375,.70999491,0,0,4.2016115,12.610652,3540.2319,2119.3259,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",6411.0234,3175.6309,.052603453,.25650987,16.647739,7.6588535
"AGO",2002,17572648,-1.6557984,2.4028783,0,-.0054627345,0,.34184173,.021767655,0,0,.13210779,0,-.0025713663,0,.46590516,.70837885,0,0,4.185894,12.798133,3184.0259,1906.0865,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",7546.0469,2900.5479,.065387532,.25443992,16.681854,7.5528073
"AGO",2003,18203368,-2.0915511,3.2015274,0,-.004940697,0,.4142777,.022769984,0,0,.090475805,0,-.0019222923,0,.46060234,.67805624,0,0,4.0841012,12.736738,3234.9966,1936.5996,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",8853.5342,4330.8555,.066956431,.23079033,16.717117,7.5686889
"AGO",2004,18865716,-.93689197,2.1511793,0,-.0042099799,0,.3109675,.016120033,0,0,.12466156,0,-.0010342012,0,.46088567,.67174864,0,0,,12.777907,3461.0181,2071.9053,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",12128.327,6561.4077,.061055172,.17823009,16.752857,7.6362238
"AGO",2005,19552542,-2.0273695,3.2715182,0,-.0044185873,0,.40692878,.00718304,0,0,.10657743,0,-.001089337,0,.45348641,.67592478,0,0,4.6097074,12.691037,3949.2727,2364.1943,"Lower middle income",-8.8115501,13.242,"Sub-Saharan Africa",20982.646,7588.4409,.046657365,.050958902,16.788616,7.7681928
"ALB",1980,2671997,.33981857,.36309189,0,-.0090139583,0,.1147833,.28709888,0,0,.93632054,0,-.0022396506,0,.60848004,.96005893,0,0,5.2177544,13.59615,,2036.7037,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",271.95932,211.20854,-.0079923449,-.030231442,14.798337,7.6190882
"ALB",1981,2726056,-.050764568,.60403776,0,-.0096824067,0,.14149398,.26008993,0,0,1.0217628,0,-.0044840374,0,.65265715,.90809488,0,0,4.8341613,13.631636,,2111.0159,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",285.05954,191.25125,-.045041475,-.060753409,14.818366,7.6549244
"ALB",1982,2784278,-.16501869,.7545051,0,-.009227342,0,.16262355,.10676395,0,0,.96868092,0,-.0041785166,0,.60806328,1.0966309,0,0,4.8502264,13.797327,,2127.8162,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",262.18533,233.70866,-.052327201,-.08069016,14.839499,7.6628513
"ALB",1983,2843960,-.02260155,.72957927,0,-.0088616991,0,.15836176,.045527667,0,0,1.051111,0,-.0034672024,0,.59932804,.92159069,0,0,4.8369651,13.948619,,2106.1807,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",213.6151,159.67924,-.04203793,-.052499361,14.860708,7.6526313
"ALB",1984,2904429,-.094485983,.59467882,0,-.0096880756,0,.14327042,.066850007,0,0,.87405509,0,-.0033776343,0,.59387267,.98545533,0,0,4.6038618,14.013823,,2036.5187,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",205.67149,159.88548,-.030520827,-.027088681,14.881747,7.6189971
"ALB",1985,2964762,-.16379592,.60881746,0,-.0097572757,0,.15656026,.040968373,0,0,.8312096,0,-.0029995032,0,.57428885,.96747261,0,0,4.5935922,14.105088,,2030.6007,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",159.74654,150.55775,-.017446676,.035699397,14.902308,7.616087
"ALB",1986,3022635,-.24217978,.67782098,0,-.0097564617,0,.1778962,.040907264,0,0,.75230664,0,-.0023795236,0,.56521052,1.0231071,0,0,4.2374487,14.257504,,2104,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",203.4241,137.76457,-.011750957,.024114115,14.921639,7.6515956
"ALB",1987,3083605,.026845071,.51837659,0,-.0099527659,0,.16537713,.056155395,0,0,.80558556,0,-.001007008,0,.53776592,.96182793,0,0,4.0796738,14.150854,,2046.1505,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",202.09109,119.74451,-.019682201,.0050314614,14.94161,7.6237154
"ALB",1988,3142336,-.51758611,.91113496,0,-.0095495461,0,.20877738,.051032506,0,0,.82765925,0,-.0033499815,0,.54565459,.98301107,0,0,4.1827149,13.928165,,1979.3944,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",187.76166,165.32118,-.0072796927,.025181442,14.960477,7.5905461
"ALB",1989,3227943,-.21107092,.66442651,0,-.00960634,0,.18799625,.064857833,0,0,.805453,0,-.0017331452,0,.51866072,.92545074,0,0,4.0564294,13.674546,,2116.4402,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",231.26678,225.41606,-.00070288149,.01837879,14.987355,7.6574907
"ALB",1990,3286542,-.24492189,.68677461,0,-.0090817548,0,.18897822,.10574175,0,0,.86292517,0,-.0015723852,0,.51788568,.97735906,0,0,3.9913399,13.609506,4557.3892,1879.6548,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",200.07137,256.52917,.018420381,.025383908,15.005346,7.5388436
"ALB",1991,3266790,-.48677066,.86126882,0,-.0095776673,0,.21124503,.30978346,0,0,.91445136,0,-.002688095,0,.54075521,1.033444,0,0,3.9279428,13.467569,3228.3054,1331.486,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",152.3112,295.70471,.063229889,.080443807,14.999318,7.1940508
"ALB",1992,3247039,-.24000497,.66482329,0,-.0099955965,0,.19217503,.3246395,0,0,.86237985,0,-.0019969789,0,.51215887,1.0202688,0,0,4.0485997,13.266093,3014.0906,1243.1349,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",113.03878,468.90439,.075323395,.12087931,14.993254,7.1253915
"ALB",1993,3227287,-.24953051,.65737128,0,-.0098512135,0,.18733247,.38594344,0,0,.92212844,0,-.0015517641,0,.50254703,1.0117922,0,0,3.947619,13.279081,3323.6614,1370.8147,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",124.5739,549.76953,.071255878,.14260593,14.987152,7.2231607
"ALB",1994,3207536,-.37507039,.80206519,0,-.009981567,0,.21421152,.1641598,0,0,.9489637,0,-.002388055,0,.50618762,1.0198812,0,0,3.850167,13.36676,3621.6902,1493.7339,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",156.28117,618.48859,.068456136,.13938282,14.981013,7.3090343
"ALB",1995,3187784,-.62441999,.98024744,0,-.0099910265,0,.24521513,.45744395,0,0,1.0700995,0,-.00312917,0,.51755148,1.0362818,0,0,3.75545,13.275314,4128.7998,1702.887,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",226.86562,814.67578,.060971603,.1092678,14.974836,7.4400802
"ALB",1996,3168033,-.37142324,.73265582,0,-.009999997,0,.20610444,.61588544,0,0,1.1842699,0,-.0022399197,0,.51413733,1.0231987,0,0,3.7911396,13.038897,4532.604,1869.4324,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",258.1582,1007.0441,.057358369,.1135985,14.968621,7.53339
"ALB",1997,3148281,-.34770769,.77199274,0,-.0098580625,0,.208377,.14253694,0,0,1.1341661,0,-.002583825,0,.51837575,.96586186,0,0,3.85128,12.955112,4066.7222,1677.2834,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",212.49257,584.83856,.07584656,.17422239,14.962367,7.4249306
"ALB",1998,3128530,-.41324982,.85952157,0,-.0091253966,0,.23322436,.011996561,0,0,1.0945331,0,-.0027236259,0,.50948364,.71017087,0,0,,12.905599,4461.0742,1839.9304,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",240.7766,775.0755,.074526325,.24411871,14.956074,7.5174832
"ALB",1999,3108778,-.40193248,.85293001,0,-.0094965901,0,.22600749,.014440662,0,0,1.1088107,0,-.0028898977,0,.51330119,.73437732,0,0,,12.838332,5095.542,2101.6111,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",277.46405,1062.8777,.064549059,.15056841,14.94974,7.6504593
"ALB",2000,3089027,-.062061813,.57925522,0,-.0095841251,0,.19515373,.020569459,0,0,1.0468286,0,-.0013317271,0,.49152926,.7356956,0,0,,12.604106,5469.9951,2256.051,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",257.06912,1033.1365,.06141128,.20949692,14.943367,7.7213712
"ALB",2001,3060173,-.2576924,.7415154,0,-.0097779138,0,.21604486,.017185749,0,0,1.0962211,0,-.0025071339,0,.50392008,.70999491,0,0,4.2016115,12.610652,5960.002,2458.1499,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",330.18222,1310.5581,.055281084,.19929244,14.933982,7.8071642
"ALB",2002,3051010,-.27717251,.91467965,0,-.0088941706,0,.2302289,.021767655,0,0,1.1838398,0,-.002853242,0,.50892043,.70837885,0,0,4.185894,12.798133,6230.8486,2569.8584,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",353.84738,1465.5701,.052257799,.1894998,14.930984,7.8516059
"ALB",2003,3039616,-.093122385,.76397955,0,-.0080468375,0,.21497414,.022769984,0,0,1.1698766,0,-.0016564637,0,.49187791,.67805624,0,0,4.0841012,12.736738,6615.291,2728.4182,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",472.48911,1794.3265,.047323763,.18557365,14.927241,7.9114771
"ALB",2004,3026939,-.28040072,.77447402,0,-.0092588104,0,.22518209,.016120033,0,0,1.1296277,0,-.0023818226,0,.49855664,.67174864,0,0,,12.777907,7022.2817,2896.2778,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",576.23993,2188.1453,.043164335,.16584224,14.923062,7.9711819
"ALB",2005,3011487,-.38576186,.82299918,0,-.0095864981,0,.21749116,.00718304,0,0,1.2357546,0,-.0030314226,0,.5036239,.67592478,0,0,4.6097074,12.691037,7462.1069,3077.6797,"Upper middle income",41.331699,19.8172,"Europe & Central Asia",639.93042,2484.4697,.039803751,.12545627,14.917945,8.0319309
"ARG",1962,21287682,-.26773667,1.0732504,2.494524,-.0083629815,.0086370856,.20127861,.2374166,0,0,3.0854442,1.0847833,.00080603804,-.0030160814,.60270792,1.0991571,0,0,4.2483263,14.991931,,5675.0601,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1278.0194,1330.2946,.025918556,.045649398,16.87364,8.643836
"ARG",1963,21621840,-.26468584,.92999059,3.1143405,-.009982503,-.0024393154,.19916041,.58981752,0,0,1.2285552,1.0463299,-.003439588,-.00097404449,.60499746,1.0337355,0,0,4.0650878,14.945067,,5290.7661,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1411.7451,913.07361,.034223802,.094133593,16.889214,8.5737181
"ARG",1964,21953928,.25745037,.73670763,2.2209277,-.0090372777,.0045686625,.17072472,.27560905,0,0,1.6212827,1.0079292,-.0043266085,-.0032717716,.67596519,1.0014009,0,0,3.9184909,15.044896,,5738.5977,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1563.5695,1056.6532,.029647702,.10428149,16.904457,8.6549702
"ARG",1965,22283390,.19634713,.63445944,2.9898615,-.0099402983,.001618345,.1619723,.29504502,0,0,1.0517391,.77051204,-.0023578759,-.0030122695,.57499015,1.0559608,0,0,4.0672078,,,6251.3218,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1634.8652,1170.0719,.019178079,.069751255,16.919352,8.7405481
"ARG",1966,22608748,-.25255781,.88262129,1.7954848,-.0099515533,-.0010755901,.18303038,.18041544,0,0,1.544873,1.4797008,-.0053079929,.001776912,.69069523,.97372836,0,0,4.3785543,14.648263,,6120.7124,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1784.8713,1064.5107,.017661905,.086465351,16.933847,8.7194338
"ARG",1967,22932204,.05388939,.74885815,2.3222995,-.0099904593,.00090835674,.17513584,.23167935,0,0,1.0237623,1.1087592,-.0030202023,-.0019224447,.56624538,.92310804,0,0,4.2011948,14.33828,,6226.9976,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1630.6786,1017.0003,.021207524,.13777655,16.948053,8.7366495
"ARG",1968,23261278,.22006527,.55974996,10.973109,-.0099965418,-.0029077081,.15089917,1.0989871,0,0,.98313546,.033053577,-.0018468536,-.0040411525,.58959723,.89449209,0,0,3.9909399,,,6434.9536,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1445.4913,1151.7845,.011683466,.17011735,16.962301,8.7694998
"ARG",1969,23605988,.15521109,.64354289,8.1240396,-.0098728454,.00021392648,.13874292,.81228727,0,0,1.0562644,.10861586,-.0031501846,-.0052096578,.62381613,.83004534,0,0,3.8447199,13.916926,,6954.7642,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1672.196,1538.0328,.012174058,.1736767,16.977011,8.8471823
"ARG",1970,23973058,.11668188,.81080562,6.1422272,-.0038289693,.0011936136,.18209448,.61326873,0,0,1.0683949,.34516823,.00080270623,-.0063570337,.59862697,.81241757,0,0,3.7850387,13.76688,,7056.8481,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1887.4595,1657.9495,.013288276,.1587833,16.992441,8.8617535
"ARG",1971,24366440,.048348829,.74628574,5.6376171,-.0093110986,-.0031874427,.18583855,.56519693,0,0,1.2003208,.19226617,.00028915668,.0050861659,.59943563,.7575807,0,0,4.0909529,13.702551,,7335.7593,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1844.9608,1789.8562,.0019240376,.17780113,17.008717,8.9005165
"ARG",1972,24782948,.15313616,.66092557,6.1133957,-.0062273201,-.0049608122,.17994022,.61527932,0,0,1.1396502,.36499593,.0001667598,-.0036997541,.60217988,.78464079,0,0,4.406436,13.480901,,7329.9214,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",1997.0934,1814.1237,-.0046380716,.14906728,17.025667,8.8997202
"ARG",1973,25213388,.26368058,.52767462,2.582562,-.0094788549,-.0069317566,.17013624,.26320779,0,0,1.0258868,.69993901,-.00068871304,.0057457206,.61342096,.74481666,0,0,4.7021527,13.175757,,7407.3667,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",3471.0415,2116.2234,-.0034685603,.088984236,17.042885,8.9102306
"ARG",1974,25644506,.37539202,.3911621,3.9116011,-.0099931583,-.0060159322,.1254226,.39633536,0,0,1.1992869,.15568891,-.0023073412,.0061627198,.59670472,.77861619,0,0,4.985538,12.708125,,7685.8574,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",4216.1406,3630.626,-.0065264842,.070904382,17.059839,8.9471369
"ARG",1975,26066976,.50270343,.28531152,0,-.0099998452,0,.11240471,.0076063327,0,0,1.0503792,0,.00021047646,0,.54433089,.7407549,0,0,4.7060304,12.714843,,7559.1436,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",3208.5588,3711.5413,-.014224846,.10812037,17.07618,8.9305134
"ARG",1976,26477152,.28409705,.40400615,5.4959912,-.0099267252,-.0039962963,.12091917,.55314833,0,0,1.1137793,.056738116,-.00047096238,.005539841,.57414657,.7184546,0,0,4.7534804,12.628366,,7291.8403,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",4090.3994,2881.7275,-.0046646614,.058001712,17.091793,8.8945112
"ARG",1977,26878564,.26040113,.42980757,3.0884011,-.0099749938,-.0059540546,.12257563,.31643459,0,0,1.4065505,1.0314494,-.0029817212,.0066278176,.61339951,.66850501,0,0,4.7858229,12.749184,,7681.0176,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",5928.4092,3972.5107,-.0084797638,.012890064,17.10684,8.9465075
"ARG",1978,27277740,.098120697,.55721474,0,-.007964219,0,.155827,.33905596,0,0,1.4024907,0,-.00026879946,0,.59652597,.91432434,0,0,4.9941282,13.690186,,7227.564,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",6955.2007,4212.689,-.0064861365,.033044666,17.121582,8.8856573
"ARG",1979,27684534,.027887831,.61588848,0,-.0097438246,0,.16418646,.24733692,0,0,1.1867552,0,-.0013054288,0,.59628826,.9734264,0,0,5.2658272,13.767369,,7849.3633,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",8294.1523,7934.27,-.023727616,.021951115,17.136385,8.9681873
"ARG",1980,28105888,.23286296,.44731259,0,-.0098093143,0,.12515317,.28709888,0,0,1.1824828,0,-.0016283075,0,.61112285,.96005893,0,0,5.2177544,13.59615,,8052.6895,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",8239.4824,10630.591,-.029975347,.041900855,17.151489,8.9937611
"ARG",1981,28543364,.088187464,.50803769,0,-.0094558429,0,.13128442,.26008993,0,0,1.1002883,0,-.0013877642,0,.62525666,.90809488,0,0,4.8341613,13.631636,,7478.1304,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",9477.7842,9042.3906,-.012432738,.027096676,17.166935,8.9197378
"ARG",1982,28993988,.16550687,.47075653,0,-.0089306151,0,.13410608,.10676395,0,0,1.1491891,0,.00010869154,0,.57160509,1.0966309,0,0,4.8502264,13.797327,,6996.9629,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",8014.0669,5149.9419,.0040481891,.044770837,17.182598,8.8532314
"ARG",1983,29454738,-.091258861,.60958713,0,-.0090209767,0,.14741504,.045527667,0,0,1.1450269,0,-.001320321,0,.58103067,.92159069,0,0,4.8369651,13.948619,,7154.4111,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",8140.9624,4365.7598,.0062279454,.044869527,17.198366,8.8754845
"ARG",1984,29920904,-.12120091,.59944457,0,-.009707137,0,.1438093,.066850007,0,0,1.17749,0,-.0019758462,0,.5932278,.98545533,0,0,4.6038618,14.013823,,7198.7197,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",8364.1543,4581.0444,.010010749,.065618761,17.214067,8.8816586
"ARG",1985,30388784,-.17677717,.69773459,0,-.0097924247,0,.16551799,.040968373,0,0,1.2502452,0,-.0021252299,0,.58336252,.96747261,0,0,4.5935922,14.105088,,6550.1504,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",8957.3467,3673.6895,.01537731,.087128431,17.229584,8.7872429
"ARG",1986,30857244,.04044256,.81537592,0,-.0047652088,0,.16624609,.040907264,0,0,1.5718813,0,.00063384202,0,.55522484,1.0231071,0,0,4.2374487,14.257504,,6958.7524,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",7188.3535,4655.4365,.013471582,.1285263,17.244883,8.8477554
"ARG",1987,31326472,.11137742,.60987514,0,-.0069739651,0,.16223891,.056155395,0,0,1.5241237,0,.00031568386,0,.54073757,.96182793,0,0,4.0796738,14.150854,,7053.9858,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",6738.4697,5774.9121,.018833553,.14577585,17.259974,8.8613482
"ARG",1988,31795516,.04412045,.75616753,0,-.004816886,0,.16989022,.051032506,0,0,1.6878774,0,.00047532446,0,.53173995,.98301107,0,0,4.1827149,13.928165,,6772.2231,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",9627.2148,5179.8247,.02570639,.10519536,17.274836,8.8205843
"ARG",1989,32263560,.15790853,.79966098,0,-.0044281981,0,.17411853,.064857833,0,0,1.8691905,0,.00082927936,0,.51776659,.92545074,0,0,4.0564294,13.674546,,6173.6851,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",10305.599,4137.2964,.0305323,.084073715,17.28945,8.7280512
"ARG",1990,32729740,-.0071225073,.80519611,0,-.0050975811,0,.17936954,.10574175,0,0,1.7487549,0,.00044602071,0,.51970136,.97735906,0,0,3.9913399,13.609506,10815.715,5939.7568,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",12421.209,4652.3101,.032553885,.078457244,17.303795,8.6894236
"ARG",1991,33193918,.1023552,.92460996,0,-.0039103916,0,.18428031,.30978346,0,0,1.6092668,0,.00083147758,0,.52087396,1.033444,0,0,3.9279428,13.467569,12015.627,6598.7227,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",12382.834,8614.5049,.016021302,.081435032,17.317877,8.794631
"ARG",1992,33655152,.064796343,.71178246,0,-.0053927121,0,.17470133,.3246395,0,0,1.4704013,0,.00078200473,0,.49846196,1.0202688,0,0,4.0485997,13.266093,13266.053,7285.4292,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",12418.335,14257.379,-.0066275159,.078416079,17.331676,8.8936319
"ARG",1993,34110916,.23431548,.76741946,0,-.0033483484,0,.16465671,.38594344,0,0,1.4742728,0,.0017308905,0,.47703028,1.0117922,0,0,3.947619,13.279081,13861.946,7612.6812,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",12626.89,16259.907,-.0036709905,.094681844,17.345127,8.9375706
"ARG",1994,34558116,-.09683691,1.0636607,0,-.0046812198,0,.20651862,.1641598,0,0,1.6637206,0,.00018456955,0,.50045073,1.0198812,0,0,3.850167,13.36676,14481.108,7952.7114,"Upper middle income",-34.611801,-58.417301,"Latin America & Caribbean",15792.127,19826.229,-.00049108348,.086712055,17.358152,8.9812679
