country,gdp_per_capita_PPP_constant_2011_international_dollar,gdp_per_capita_PPP_current_international_dollar,gdp_per_capita_constant2010USD,incomeLevel,iso2c,iso3c,latitude,lendingType,longitude,name,region,year
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1997
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1998
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,1999
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2000
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2001
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2002
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2003
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2004
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2005
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2006
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2007
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2008
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2009
Aruba,,,24271.9404205267,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2010
Aruba,35973.780509792,35973.780509792,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2011
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2012
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2013
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2014
Aruba,,,,High income,AW,ABW,12.5167,Not classified,-70.0167,Aruba,Latin America & Caribbean ,2015
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1962
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1963
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1964
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1965
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1966
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1967
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1968
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1969
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1970
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1971
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1972
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1973
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1974
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1975
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1976
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1977
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1978
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1979
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1980
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1981
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1982
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1983
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1984
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1985
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1986
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1987
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1988
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1989
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1990
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1991
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1992
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1993
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1994
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1995
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1996
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1997
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1998
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,1999
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2000
Afghanistan,,,,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2001
Afghanistan,1063.6355736531,875.5176104473,364.570572952,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2002
Afghanistan,1099.1945067504,922.829449153,376.7587142045,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2003
Afghanistan,1062.2493604511,916.3344747983,364.0954360218,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2004
Afghanistan,1136.1232141015,1011.5955243976,389.4163577911,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2005
Afghanistan,1161.124889122,1065.619665147,397.9859047419,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2006
Afghanistan,1284.7752130262,1210.4792652894,440.3681553436,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2007
Afghanistan,1298.1431588804,1247.066144291,444.9501379324,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2008
Afghanistan,1531.1739927173,1482.0988371142,524.8235332116,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2009
Afghanistan,1614.2550012611,1581.6008359897,553.3002893831,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2010
Afghanistan,1660.7398561796,1660.7398561796,569.2333877214,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2011
Afghanistan,1839.2735792778,1873.1539455231,630.4274125674,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2012
Afghanistan,1814.1558253278,1877.4119527561,621.8180785289,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2013
Afghanistan,1780.382365894,1875.4474068202,610.2419242883,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2014
Afghanistan,1747.9784572058,1861.1243315797,599.1351957725,Low income,AF,AFG,34.5228,IDA,69.1761,Afghanistan,South Asia,2015
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1962
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1963
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1964
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1965
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1966
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1967
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1968
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1969
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1970
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1971
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1972
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1973
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1974
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1975
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1976
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1977
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1978
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1979
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1980
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1981
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1982
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1983
Angola,,,,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1984
Angola,,,2574.0512428269,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1985
Angola,,,2570.5295059746,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1986
Angola,,,2700.1140305326,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1987
Angola,,,2778.0932322753,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1988
Angola,,,2715.3276872527,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1989
Angola,4394.3301412664,2840.2007631558,2630.623572963,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1990
Angola,4209.4820891399,2811.2871255131,2519.96606028,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1991
Angola,3793.6455401652,2591.3262764243,2271.0295004254,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1992
Angola,2763.8246214627,1932.8040307055,1654.5370891637,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1993
Angola,2770.1272442874,1978.4380318151,1658.3100938404,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1994
Angola,2966.554626295,2162.9172033485,1775.8994612464,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1995
Angola,3205.9509383833,2380.1328378308,1919.2117663338,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1996
Angola,3365.9838304013,2541.7124975336,2015.0139215334,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1997
Angola,3498.7256324014,2670.6200295541,2094.4785275674,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1998
Angola,3511.1985734218,2721.1555587273,2101.9453340243,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,1999
Angola,3508.9051252698,2781.2581400697,2100.572383295,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2000
Angola,3540.2320254984,2870.0367144548,2119.3259315174,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2001
Angola,3184.0259457407,2620.8890118658,1906.0865798711,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2002
Angola,3234.9965792558,2715.9434412314,1936.5996605326,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2003
Angola,3461.0180835926,2985.5985853921,2071.9052652985,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2004
Angola,3949.2728004776,3516.4026577414,2364.194266479,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2005
Angola,4601.1154879667,4222.663032654,2754.4136365416,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2006
Angola,5443.1262151576,5128.3612533914,3258.4752788009,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2007
Angola,5978.3348726785,5743.1100475712,3578.8728059932,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2008
Angola,5908.0514270678,5718.6944078956,3536.7982956881,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2009
Angola,5895.1140879018,5775.864013056,3529.0534817376,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2010
Angola,5911.2543338732,5911.2543338732,3538.7156851135,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2011
Angola,5998.6386009912,6109.1366123063,3591.0274381217,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2012
Angola,6185.0138291991,6400.6733758948,3702.5991801117,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2013
Angola,6260.1326806697,6594.3978255573,3747.5683597363,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2014
Angola,6231.067992064,6634.4022742108,3730.1690627948,Lower middle income,AO,AGO,-8.81155,IBRD,13.242,Angola,Sub-Saharan Africa ,2015
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1962
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1963
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1964
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1965
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1966
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1967
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1968
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1969
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1970
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1971
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1972
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1973
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1974
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1975
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1976
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1977
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1978
Albania,,,,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1979
Albania,,,2036.7037824048,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1980
Albania,,,2111.0159453675,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1981
Albania,,,2127.8162561757,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1982
Albania,,,2106.1805742581,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1983
Albania,,,2036.5187106755,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1984
Albania,,,2030.600682045,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1985
Albania,,,2103.999902171,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1986
Albania,,,2046.1505010346,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1987
Albania,,,1979.3943839584,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1988
Albania,,,2116.4400756393,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1989
Albania,4557.3892375627,2721.6152119694,1879.6547642768,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1990
Albania,3228.3054411835,1992.0736881375,1331.4859422248,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1991
Albania,3014.0906304311,1902.2863829256,1243.1349437429,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1992
Albania,3323.6614327565,2147.5751115493,1370.8146750847,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1993
Albania,3621.6900782789,2389.9469451514,1493.7339462389,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1994
Albania,4128.8000002058,2781.4139886546,1702.8869351707,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1995
Albania,4532.6040908155,3109.1834982652,1869.43235036,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1996
Albania,4066.7221305827,2837.3515038548,1677.2834685123,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1997
Albania,4461.07404577,3208.9577729209,1839.930417795,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1998
Albania,5095.5421344564,3690.6887286804,2101.611152864,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,1999
Albania,5469.9951121528,4026.5374216544,2256.0509618941,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2000
Albania,5960.0020723468,4463.6329857457,2458.1499859726,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2001
Albania,6230.8487483179,4754.6758564388,2569.8582949056,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2002
Albania,6615.291023829,5114.7847786849,2728.4181012083,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2003
Albania,7022.2818857144,5524.9216608444,2896.2778719417,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2004
Albania,7462.1067527415,5942.8700830914,3077.6797368386,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2005
Albania,7917.1677826805,6634.7792222942,3265.3656219747,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2006
Albania,8447.8822853905,7289.6323664745,3484.2541108638,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2007
Albania,9153.981440488,8228.3574283083,3775.4784438638,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2008
Albania,9524.6098109479,8823.8029837769,3928.3408275657,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2009
Albania,9927.135147335,9646.6157266836,4094.3588319192,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2010
Albania,10207.7006744902,10207.7006744902,4210.0755948111,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2011
Albania,10369.7616592059,10526.248327766,4276.9162103797,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2012
Albania,10504.0930887663,10584.4469188389,4332.3200169021,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2013
Albania,10715.3295809344,11325.3215678282,4419.4426343034,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2014
Albania,11024.9151076797,11504.7482377884,4547.1284386015,Upper middle income,AL,ALB,41.3317,IBRD,19.8172,Albania,Europe & Central Asia,2015
Andorra,,,,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1962
Andorra,,,,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1963
Andorra,,,,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1964
Andorra,,,,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1965
Andorra,,,,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1966
Andorra,,,,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1967
Andorra,,,,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1968
Andorra,,,,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1969
Andorra,,,42137.5981488529,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1970
Andorra,,,41883.2198886212,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1971
Andorra,,,43051.3040455361,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1972
Andorra,,,44201.8111087438,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1973
Andorra,,,44648.4660923387,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1974
Andorra,,,43158.0886765118,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1975
Andorra,,,43079.8967286233,High income,AD,AND,42.5075,Not classified,1.5218,Andorra,Europe & Central Asia,1976
